** WARNING: connection is not using a post-quantum key exchange algorithm.
** This session may be vulnerable to "store now, decrypt later" attacks.
** The server may need to be upgraded. See https://openssh.com/pq.html
r8169 0000:01:00.0 eno2: Link is Up - 100Mbps/Full - flow control rx/tx
IPv6: ADDRCONF(NETDEV_CHANGE): eno2: link becomes ready
andrea_mind_core: loading out-of-tree module taints kernel.
andrea_mind_core: caricamento, CPU target=3
andrea_mind_core: 19000 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 19100 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 19200 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 19300 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 19400 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 19500 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 19600 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 19700 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 19800 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 19900 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 20000 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 20100 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 20200 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 20300 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 20400 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 20500 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 20600 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 20700 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 20800 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 20900 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: thread fermato dopo 20923 blocchi
andrea_mind_core: scaricato
